"Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort"
"W0111-P001NS01","Worker 01","Farm 11","May","2019-05-08","NASAL SWAB","Spring","Year 1","Farmer"
"W0111-S001NS01","Worker 01","Farm 11","Aug","2019-08-08","NASAL SWAB","Summer","Year 1","Farmer"
"W0111-V401NS01","Worker 01","Farm 11","Jan","2020-01-15","NASAL SWAB","Winter","Year 1","Farmer"
"W0112-P001NS01","Worker 01","Farm 12","May","2019-05-09","NASAL SWAB","Spring","Year 1","Farmer"
"W0112-S001NS01","Worker 01","Farm 12","Aug","2019-08-14","NASAL SWAB","Summer","Year 1","Farmer"
"W0112-V301NS01","Worker 01","Farm 12","Nov","2019-11-12","NASAL SWAB","Autumn","Year 1","Farmer"
"W0112-V401NS01","Worker 01","Farm 12","Feb","2020-02-05","NASAL SWAB","Winter","Year 1","Farmer"
"W0114-P001NS01","Worker 01","Farm 14","May","2019-05-29","NASAL SWAB","Spring","Year 1","Farmer"
"W0114-S001NS01","Worker 01","Farm 14","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Farmer"
"W0114-V301NS01","Worker 01","Farm 14","Nov","2019-11-20","NASAL SWAB","Autumn","Year 1","Farmer"
"W0114-V401NS01","Worker 01","Farm 14","Feb","2020-02-18","NASAL SWAB","Winter","Year 1","Farmer"
"W0115-P001NS01","Worker 01","Farm 15","May","2019-05-30","NASAL SWAB","Spring","Year 1","Farmer"
"W0115-S001NS01","Worker 01","Farm 15","Aug","2019-08-23","NASAL SWAB","Summer","Year 1","Farmer"
"W0115-V301NS01","Worker 01","Farm 15","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Farmer"
"W0115-V401NS01","Worker 01","Farm 15","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0116-F001NS01","Worker 01","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Farmer"
"W0116-P001NS01","Worker 01","Farm 16","Jul","2019-07-09","NASAL SWAB","Summer","Year 1","Farmer"
"W0116-V301NS01","Worker 01","Farm 16","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Farmer"
"W0117-F001NS01","Worker 01","Farm 17","Sep","2019-09-19","NASAL SWAB","Autumn","Year 1","Farmer"
"W0117-V301NS01","Worker 01","Farm 17","Dec","2019-12-04","NASAL SWAB","Winter","Year 1","Farmer"
"W0119-S001NS01","Worker 01","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Farmer"
"W0120-S001NS01","Worker 01","Farm 20","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Farmer"
"W0120-V201NS01","Worker 01","Farm 20","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Farmer"
"W0120-V301NS01","Worker 01","Farm 20","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Farmer"
"W0121-F001NS01","Worker 01","Farm 21","Oct","2019-10-25","NASAL SWAB","Autumn","Year 1","Farmer"
"W0121-S001NS01","Worker 01","Farm 21","Aug","2019-08-01","NASAL SWAB","Summer","Year 1","Farmer"
"W0121-V301NS01","Worker 01","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0122-S001NS01","Worker 01","Farm 22","Jul","2019-07-31","NASAL SWAB","Summer","Year 1","Farmer"
"W0122-V201NS01","Worker 01","Farm 22","Oct","2019-10-30","NASAL SWAB","Autumn","Year 1","Farmer"
"W0122-V301NS01","Worker 01","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Farmer"
"W0123-S001NS01","Worker 01","Farm 23","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Farmer"
"W0123-V201NS01","Worker 01","Farm 23","Nov","2019-11-13","NASAL SWAB","Autumn","Year 1","Farmer"
"W0123-V301NS01","Worker 01","Farm 23","Feb","2020-02-04","NASAL SWAB","Winter","Year 1","Farmer"
"W0124-S001NS01","Worker 01","Farm 24","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Farmer"
"W0124-V201NS01","Worker 01","Farm 24","Nov","2019-11-13","NASAL SWAB","Autumn","Year 1","Farmer"
"W0124-V301NS01","Worker 01","Farm 24","Feb","2020-02-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0125-S001NS01","Worker 01","Farm 25","Sep","2019-09-05","NASAL SWAB","Autumn","Year 1","Farmer"
"W0125-V201NS01","Worker 01","Farm 25","Nov","2019-11-26","NASAL SWAB","Autumn","Year 1","Farmer"
"W0125-V301NS01","Worker 01","Farm 25","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Farmer"
"W0126-S001NS01","Worker 01","Farm 26","Sep","2019-09-05","NASAL SWAB","Autumn","Year 1","Farmer"
"W0126-V201NS01","Worker 01","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Farmer"
"W0126-V301NS01","Worker 01","Farm 26","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Farmer"
"W0127-S001NS01","Worker 01","Farm 27","Sep","2019-09-04","NASAL SWAB","Autumn","Year 1","Farmer"
"W0127-V201NS01","Worker 01","Farm 27","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Farmer"
"W0127-V301NS01","Worker 01","Farm 27","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Farmer"
"W0128-S001NS01","Worker 01","Farm 28","Sep","2019-09-09","NASAL SWAB","Autumn","Year 1","Farmer"
"W0128-V201NS01","Worker 01","Farm 28","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0129-S001NS01","Worker 01","Farm 29","Sep","2019-09-16","NASAL SWAB","Autumn","Year 1","Farmer"
"W0129-V201NS01","Worker 01","Farm 29","Dec","2019-12-09","NASAL SWAB","Winter","Year 1","Farmer"
"W0133-V101NS01","Worker 01","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Farmer"
"W0133-V201NS01","Worker 01","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Farmer"
"W0134-V101NS01","Worker 01","Farm 34","Nov","2019-11-06","NASAL SWAB","Autumn","Year 1","Farmer"
"W0134-V201NS01","Worker 01","Farm 34","Feb","2020-02-03","NASAL SWAB","Winter","Year 1","Farmer"
"W0135-V101NS01","Worker 01","Farm 35","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0136-V101NS01","Worker 01","Farm 36","Nov","2019-11-20","NASAL SWAB","Autumn","Year 1","Farmer"
"W0136-V201NS01","Worker 01","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0137-V101NS01","Worker 01","Farm 37","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Farmer"
"W0138-V101NS01","Worker 01","Farm 38","Dec","2019-12-15","NASAL SWAB","Winter","Year 1","Farmer"
"W0139-V101NS01","Worker 01","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0141-V101NS01","Worker 01","Farm 41","Feb","2020-02-13","NASAL SWAB","Winter","Year 1","Farmer"
"W0142-V101NS01","Worker 01","Farm 42","Feb","2020-02-24","NASAL SWAB","Winter","Year 1","Farmer"
"W0143-V101NS01","Worker 01","Farm 43","Feb","2020-02-28","NASAL SWAB","Winter","Year 1","Farmer"
"W0201-P001NS01","Worker 02","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Farmer"
"W0202-P001NS01","Worker 02","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Farmer"
"W0202-S001NS01","Worker 02","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Farmer"
"W0202-V401NS01","Worker 02","Farm 02","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Farmer"
"W0202-W001NS01","Worker 02","Farm 02","Mar","2019-03-20","NASAL SWAB","Spring","Year 1","Farmer"
"W0210-F001NS01","Worker 02","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Farmer"
"W0210-P001NS01","Worker 02","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Farmer"
"W0210-S001NS01","Worker 02","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Farmer"
"W0210-V401NS01","Worker 02","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Farmer"
"W0215-P001NS01","Worker 02","Farm 15","Jun","2019-06-25","NASAL SWAB","Summer","Year 1","Farmer"
"W0215-S001NS01","Worker 02","Farm 15","Sep","2019-09-30","NASAL SWAB","Autumn","Year 1","Farmer"
"W0215-V301NS01","Worker 02","Farm 15","Dec","2019-12-19","NASAL SWAB","Winter","Year 1","Farmer"
"W0216-F001NS01","Worker 02","Farm 16","Oct","2019-10-16","NASAL SWAB","Autumn","Year 1","Farmer"
"W0216-P001NS01","Worker 02","Farm 16","Jul","2019-07-23","NASAL SWAB","Summer","Year 1","Farmer"
"W0216-V301NS01","Worker 02","Farm 16","Jan","2020-01-08","NASAL SWAB","Winter","Year 1","Farmer"
"W0219-S001NS01","Worker 02","Farm 19","Jul","2019-07-18","NASAL SWAB","Summer","Year 1","Farmer"
"W0221-V101NS01","Worker 02","Farm 21","Jan","2020-01-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0222-V101NS01","Worker 02","Farm 22","Oct","2019-10-31","NASAL SWAB","Autumn","Year 1","Farmer"
"W0222-V201NS01","Worker 02","Farm 22","Jan","2020-01-27","NASAL SWAB","Winter","Year 1","Farmer"
"W0223-S001NS01","Worker 02","Farm 23","Aug","2019-08-19","NASAL SWAB","Summer","Year 1","Farmer"
"W0223-V201NS01","Worker 02","Farm 23","Nov","2019-11-13","NASAL SWAB","Autumn","Year 1","Farmer"
"W0223-V301NS01","Worker 02","Farm 23","Feb","2020-02-04","NASAL SWAB","Winter","Year 1","Farmer"
"W0226-S001NS01","Worker 02","Farm 26","Sep","2019-09-06","NASAL SWAB","Autumn","Year 1","Farmer"
"W0226-V201NS01","Worker 02","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Farmer"
"W0226-V301NS01","Worker 02","Farm 26","Feb","2020-02-20","NASAL SWAB","Winter","Year 1","Farmer"
"W0228-S001NS01","Worker 02","Farm 28","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Farmer"
"W0228-V201NS01","Worker 02","Farm 28","Dec","2019-12-09","NASAL SWAB","Winter","Year 1","Farmer"
"W0229-S001NS01","Worker 02","Farm 29","Sep","2019-09-16","NASAL SWAB","Autumn","Year 1","Farmer"
"W0229-V201NS01","Worker 02","Farm 29","Dec","2019-12-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0233-V101NS01","Worker 02","Farm 33","Nov","2019-11-18","NASAL SWAB","Autumn","Year 1","Farmer"
"W0233-V201NS01","Worker 02","Farm 33","Feb","2020-02-11","NASAL SWAB","Winter","Year 1","Farmer"
"W0234-V101NS01","Worker 02","Farm 34","Nov","2019-11-01","NASAL SWAB","Autumn","Year 1","Farmer"
"W0234-V201NS01","Worker 02","Farm 34","Jan","2020-01-30","NASAL SWAB","Winter","Year 1","Farmer"
"W0236-V101NS01","Worker 02","Farm 36","Nov","2019-11-20","NASAL SWAB","Autumn","Year 1","Farmer"
"W0236-V201NS01","Worker 02","Farm 36","Feb","2020-02-15","NASAL SWAB","Winter","Year 1","Farmer"
"W0239-V101NS01","Worker 02","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0241-V101NS01","Worker 02","Farm 41","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Farmer"
"W0242-V101NS01","Worker 02","Farm 42","Feb","2020-02-24","NASAL SWAB","Winter","Year 1","Farmer"
"W0301-P001NS01","Worker 03","Farm 01","Jun","2019-06-12","NASAL SWAB","Summer","Year 1","Farmer"
"W0302-P001NS01","Worker 03","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Farmer"
"W0302-S001NS01","Worker 03","Farm 02","Sep","2019-09-08","NASAL SWAB","Autumn","Year 1","Farmer"
"W0302-V401NS01","Worker 03","Farm 02","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Farmer"
"W0302-W001NS01","Worker 03","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Farmer"
"W0326-S001NS01","Worker 03","Farm 26","Sep","2019-09-05","NASAL SWAB","Autumn","Year 1","Farmer"
"W0326-V201NS01","Worker 03","Farm 26","Nov","2019-11-25","NASAL SWAB","Autumn","Year 1","Farmer"
"W0326-V301NS01","Worker 03","Farm 26","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Farmer"
"W0334-V101NS01","Worker 03","Farm 34","Nov","2019-11-06","NASAL SWAB","Autumn","Year 1","Farmer"
"W0334-V201NS01","Worker 03","Farm 34","Jan","2020-01-30","NASAL SWAB","Winter","Year 1","Farmer"
"W0336-V101NS01","Worker 03","Farm 36","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Farmer"
"W0336-V201NS01","Worker 03","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0339-V101NS01","Worker 03","Farm 39","Jan","2020-01-10","NASAL SWAB","Winter","Year 1","Farmer"
"W0402-P001NS01","Worker 04","Farm 02","Jun","2019-06-04","NASAL SWAB","Summer","Year 1","Farmer"
"W0402-S001NS01","Worker 04","Farm 02","Sep","2019-09-10","NASAL SWAB","Autumn","Year 1","Farmer"
"W0402-V401NS01","Worker 04","Farm 02","Dec","2019-12-02","NASAL SWAB","Winter","Year 1","Farmer"
"W0402-W001NS01","Worker 04","Farm 02","Mar","2019-03-27","NASAL SWAB","Spring","Year 1","Farmer"
"W0436-V101NS01","Worker 04","Farm 36","Dec","2019-12-05","NASAL SWAB","Winter","Year 1","Farmer"
"W0436-V201NS01","Worker 04","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0536-V101NS01","Worker 05","Farm 36","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Farmer"
"W0536-V201NS01","Worker 05","Farm 36","Feb","2020-02-19","NASAL SWAB","Winter","Year 1","Farmer"
"W0636-V101NS01","Worker 06","Farm 36","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Farmer"
"W0636-V201NS01","Worker 06","Farm 36","Feb","2020-02-17","NASAL SWAB","Winter","Year 1","Farmer"
"W0736-V101NS01","Worker 07","Farm 36","Feb","2020-02-12","NASAL SWAB","Winter","Year 1","Farmer"
"C0117-V401NS01","Cow 01","Farm 17","Mar","2020-03-12","NASAL SWAB","Spring","Year 2","Cow"
"C0128-V301NS01","Cow 01","Farm 28","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Cow"
"C0129-V301NS01","Cow 01","Farm 29","Mar","2020-03-11","NASAL SWAB","Spring","Year 2","Cow"
"C0137-V401NS01","Cow 01","Farm 37","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0141-V401NS01","Cow 01","Farm 41","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Cow"
"C0143-V401NS01","Cow 01","Farm 43","Nov","2020-11-24","NASAL SWAB","Autumn","Year 2","Cow"
"C0217-V401NS01","Cow 02","Farm 17","Mar","2020-03-12","NASAL SWAB","Spring","Year 2","Cow"
"C0228-W001NS01","Cow 02","Farm 28","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Cow"
"C0229-V301NS01","Cow 02","Farm 29","Mar","2020-03-11","NASAL SWAB","Spring","Year 2","Cow"
"C0237-V401NS01","Cow 02","Farm 37","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0241-V401NS01","Cow 02","Farm 41","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Cow"
"C0242-V401NS01","Cow 02","Farm 42","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0243-V401NS01","Cow 02","Farm 43","Nov","2020-11-24","NASAL SWAB","Autumn","Year 2","Cow"
"C0317-V401NS01","Cow 03","Farm 17","Mar","2020-03-12","NASAL SWAB","Spring","Year 2","Cow"
"C0328-W001NS01","Cow 03","Farm 28","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Cow"
"C0329-V301NS01","Cow 03","Farm 29","Mar","2020-03-11","NASAL SWAB","Spring","Year 2","Cow"
"C0337-V401NS01","Cow 03","Farm 37","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0341-V401NS01","Cow 03","Farm 41","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Cow"
"C0343-V401NS01","Cow 03","Farm 43","Nov","2020-11-24","NASAL SWAB","Autumn","Year 2","Cow"
"C0417-V401NS01","Cow 04","Farm 17","Mar","2020-03-12","NASAL SWAB","Spring","Year 2","Cow"
"C0428-W001NS01","Cow 04","Farm 28","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Cow"
"C0429-V301NS01","Cow 04","Farm 29","Mar","2020-03-11","NASAL SWAB","Spring","Year 2","Cow"
"C0435-V401NS01","Cow 04","Farm 35","Nov","2020-11-16","NASAL SWAB","Autumn","Year 2","Cow"
"C0437-V401NS01","Cow 04","Farm 37","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0441-V401NS01","Cow 04","Farm 41","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Cow"
"C0443-V401NS01","Cow 04","Farm 43","Nov","2020-11-24","NASAL SWAB","Autumn","Year 2","Cow"
"C0535-V401NS01","Cow 05","Farm 35","Nov","2020-11-16","NASAL SWAB","Autumn","Year 2","Cow"
"C0542-V401NS01","Cow 05","Farm 42","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0635-V401NS01","Cow 06","Farm 35","Nov","2020-11-16","NASAL SWAB","Autumn","Year 2","Cow"
"C0642-V401NS01","Cow 06","Farm 42","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0735-V401NS01","Cow 07","Farm 35","Nov","2020-11-16","NASAL SWAB","Autumn","Year 2","Cow"
"D0109-V401NS01","Control 01","Farm 09","Mar","2020-03-12","NASAL SWAB","Spring","Year 2","Non-Farmer"
"D0110-V401NS01","Control 01","Farm 10","Mar","2020-03-03","NASAL SWAB","Spring","Year 2","Non-Farmer"
"D0115-V301NS01","Control 01","Farm 15","Mar","2020-03-13","NASAL SWAB","Spring","Year 2","Non-Farmer"
"D0133-V401NS01","Control 01","Farm 33","Jan","2021-01-03","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0138-V401NS01","Control 01","Farm 38","Dec","2020-12-14","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0139-V401NS01","Control 01","Farm 39","Dec","2020-12-29","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0142-V101NS01","Control 01","Farm 42","Mar","2020-03-11","NASAL SWAB","Spring","Year 2","Non-Farmer"
"D0142-V401NS01","Control 01","Farm 42","Nov","2020-11-17","NASAL SWAB","Autumn","Year 2","Non-Farmer"
"D0221-V401NS01","Control 02","Farm 21","Dec","2020-12-30","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0229-V301NS01","Control 02","Farm 29","Mar","2020-03-13","NASAL SWAB","Spring","Year 2","Non-Farmer"
"D0233-V401NS01","Control 02","Farm 33","Dec","2020-12-09","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0236-V401NS01","Control 02","Farm 36","Dec","2020-12-03","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0239-V401NS01","Control 02","Farm 39","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0241-V401NS01","Control 02","Farm 41","Dec","2020-12-28","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0242-V101NS01","Control 02","Farm 42","Mar","2020-03-13","NASAL SWAB","Spring","Year 2","Non-Farmer"
"D0242-V401NS01","Control 02","Farm 42","Nov","2020-11-22","NASAL SWAB","Autumn","Year 2","Non-Farmer"
"D0436-V401NS01","Control 04","Farm 36","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Non-Farmer"
"D0536-V401NS01","Control 05","Farm 36","Nov","2020-11-26","NASAL SWAB","Autumn","Year 2","Non-Farmer"
"D0636-V401NS01","Control 06","Farm 36","Dec","2020-12-20","NASAL SWAB","Winter","Year 2","Non-Farmer"
"W0117-V401NS01","Worker 01","Farm 17","Mar","2020-03-11","NASAL SWAB","Spring","Year 2","Farmer"
"W0128-V301NS01","Worker 01","Farm 28","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Farmer"
"W0129-V301NS01","Worker 01","Farm 29","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Farmer"
"W0135-V401NS01","Worker 01","Farm 35","Nov","2020-11-16","NASAL SWAB","Autumn","Year 2","Farmer"
"W0137-V401NS01","Worker 01","Farm 37","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Farmer"
"W0141-V401NS01","Worker 01","Farm 41","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Farmer"
"W0142-V401NS01","Worker 01","Farm 42","Dec","2020-12-11","NASAL SWAB","Winter","Year 2","Farmer"
"W0143-V401NS01","Worker 01","Farm 43","Nov","2020-11-24","NASAL SWAB","Autumn","Year 2","Farmer"
"W0221-V401NS01","Worker 02","Farm 21","Nov","2020-11-16","NASAL SWAB","Autumn","Year 2","Farmer"
"W0228-V301NS01","Worker 02","Farm 28","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Farmer"
"W0229-V301NS01","Worker 02","Farm 29","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Farmer"
"W0241-V401NS01","Worker 02","Farm 41","Dec","2020-12-16","NASAL SWAB","Winter","Year 2","Farmer"
"W0242-V401NS01","Worker 02","Farm 42","Dec","2020-12-11","NASAL SWAB","Winter","Year 2","Farmer"
"W0502-V101NS01","Worker 05","Farm 02","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Farmer"
"W0502-V401NS01","Worker 05","Farm 02","Dec","2020-12-29","NASAL SWAB","Winter","Year 2","Farmer"
"C0103-V102NS01","Cow 01","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0104-V102NS01","Cow 01","Farm 04","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0203-V102NS01","Cow 02","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0204-V102NS01","Cow 02","Farm 04","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0303-V102NS01","Cow 03","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0305-V102NS01","Cow 03","Farm 05","Mar","2020-03-04","NASAL SWAB","Spring","Year 2","Cow"
"C0403-V102NS01","Cow 04","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0404-V102NS01","Cow 04","Farm 04","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0502-V102NS01","Cow 05","Farm 02","Mar","2020-03-08","NASAL SWAB","Spring","Year 2","Cow"
"C0504-V102NS01","Cow 05","Farm 04","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Cow"
"C0505-V102NS01","Cow 05","Farm 05","Mar","2020-03-04","NASAL SWAB","Spring","Year 2","Cow"
"C0602-V102NS01","Cow 06","Farm 02","Mar","2020-03-08","NASAL SWAB","Spring","Year 2","Cow"
"C0702-V102NS01","Cow 07","Farm 02","Mar","2020-03-08","NASAL SWAB","Spring","Year 2","Cow"
"C0705-V102NS01","Cow 07","Farm 05","Mar","2020-03-04","NASAL SWAB","Spring","Year 2","Cow"
"C0805-V102NS01","Cow 08","Farm 05","Mar","2020-03-04","NASAL SWAB","Spring","Year 2","Cow"
"W0102-V102NS01","Worker 01","Farm 02","Mar","2020-03-10","NASAL SWAB","Spring","Year 2","Farmer"
"W0103-V102NS01","Worker 01","Farm 03","Mar","2020-03-02","NASAL SWAB","Spring","Year 2","Farmer"
"W0104-V102NS01","Worker 01","Farm 04","Mar","2020-03-04","NASAL SWAB","Spring","Year 2","Farmer"
"W0105-V102NS01","Worker 01","Farm 05","Mar","2020-03-04","NASAL SWAB","Spring","Year 2","Farmer"
"W0202-V102NS01","Worker 02","Farm 02","Mar","2020-03-09","NASAL SWAB","Spring","Year 2","Farmer"
"W0402-V102NS01","Worker 04","Farm 02","Mar","2020-03-09","NASAL SWAB","Spring","Year 2","Farmer"
"C0103-V402NS01","Cow 01","Farm 03","Dec","2020-12-14","NASAL SWAB","Winter","Year 2","Cow"
"C0106-V302NS01","Cow 01","Farm 06","Nov","2020-11-17","NASAL SWAB","Autumn","Year 2","Cow"
"C0106-V402NS01","Cow 01","Farm 06","Feb","2021-02-16","NASAL SWAB","Winter","Year 2","Cow"
"C0107-V302NS01","Cow 01","Farm 07","Dec","2020-12-08","NASAL SWAB","Winter","Year 2","Cow"
"C0110-V302NS01","Cow 01","Farm 10","Dec","2020-12-12","NASAL SWAB","Winter","Year 2","Cow"
"C0111-V302NS01","Cow 01","Farm 11","Dec","2020-12-14","NASAL SWAB","Winter","Year 2","Cow"
"C0112-V302NS01","Cow 01","Farm 12","Dec","2020-12-15","NASAL SWAB","Winter","Year 2","Cow"
"C0112-V402NS01","Cow 01","Farm 12","Mar","2021-03-08","NASAL SWAB","Spring","Year 3","Cow"
"C0115-V302NS01","Cow 01","Farm 15","Nov","2020-11-24","NASAL SWAB","Autumn","Year 2","Cow"
"C0115-V402NS01","Cow 01","Farm 15","Feb","2021-02-15","NASAL SWAB","Winter","Year 2","Cow"
"C0116-V302NS01","Cow 01","Farm 16","Mar","2021-03-18","NASAL SWAB","Spring","Year 3","Cow"
"C0116-V402NS01","Cow 01","Farm 16","May","2021-05-18","NASAL SWAB","Spring","Year 3","Cow"
"C0117-V302NS01","Cow 01","Farm 17","Dec","2020-12-06","NASAL SWAB","Winter","Year 2","Cow"
"C0119-V202NS01","Cow 01","Farm 19","Dec","2020-12-14","NASAL SWAB","Winter","Year 2","Cow"
"C0119-V302NS01","Cow 01","Farm 19","Mar","2021-03-08","NASAL SWAB","Spring","Year 3","Cow"
"C0119-V402NS01","Cow 01","Farm 19","May","2021-05-17","NASAL SWAB","Spring","Year 3","Cow"
"C0120-V202NS01","Cow 01","Farm 20","Dec","2020-12-08","NASAL SWAB","Winter","Year 2","Cow"
"C0121-V202NS01","Cow 01","Farm 21","Nov","2020-11-17","NASAL SWAB","Autumn","Year 2","Cow"
"C0121-V302NS01","Cow 01","Farm 21","Feb","2021-02-23","NASAL SWAB","Winter","Year 2","Cow"
"C0121-V402NS01","Cow 01","Farm 21","May","2021-05-03","NASAL SWAB","Spring","Year 3","Cow"
"C0122-V202NS01","Cow 01","Farm 22","Dec","2020-12-08","NASAL SWAB","Winter","Year 2","Cow"
"C0122-V302NS01","Cow 01","Farm 22","Feb","2021-02-23","NASAL SWAB","Winter","Year 2","Cow"
"C0122-V402NS01","Cow 01","Farm 22","May","2021-05-04","NASAL SWAB","Spring","Year 3","Cow"
"C0124-V202NS01","Cow 01","Farm 24","Nov","2020-11-23","NASAL SWAB","Autumn","Year 2","Cow"
"C0124-V302NS01","Cow 01","Farm 24","Feb","2021-02-17","NASAL SWAB","Winter","Year 2","Cow"
"C0124-V402NS01","Cow 01","Farm 24","Apr","2021-04-27","NASAL SWAB","Spring","Year 3","Cow"
"C0126-V202NS01","Cow 01","Farm 26","Dec","2020-12-07","NASAL SWAB","Winter","Year 2","Cow"
"C0126-V302NS01","Cow 01","Farm 26","Feb","2021-02-21","NASAL SWAB","Winter","Year 2","Cow"
"C0127-V202NS01","Cow 01","Farm 27","Dec","2020-12-10","NASAL SWAB","Winter","Year 2","Cow"
"C0128-V202NS01","Cow 01","Farm 28","Dec","2020-12-08","NASAL SWAB","Winter","Year 2","Cow"
